,Metadata_broad_sample_x,average_precision_std,average_precision_mito,average_precision_act,BRD ID,Metadata_broad_sample_y,Common Name,MoA,std_vs_act,std_vs_mito
11,BRD-K09372874-001-02-9,0.9583333333333333,0.9791666666666666,1.0,K09372874,BRD-K09372874-001-01-0,merimepodib,inosine monophosphate dehydrogenase inhibitor,-0.04166666666666674,-0.02083333333333337
12,BRD-K12511835-003-03-9,1.0,1.0,0.7942307692307692,K12511835,BRD-K12511835-003-01-2,BMS-863233,CDC inhibitor,0.20576923076923082,0.0
13,BRD-K12737986-001-01-4,0.18770334842977676,0.021220867930195873,0.07504307989691783,K12737986,BRD-K12737986-001-01-4,veliparib,PARP inhibitor,0.11266026853285893,0.1664824804995809
14,BRD-K13094524-001-10-9,0.1774238369398024,0.3121456916099773,0.18779567494601254,K13094524,BRD-K13094524-001-04-2,PFI-1,bromodomain inhibitor,-0.010371838006210138,-0.1347218546701749
15,BRD-K13606314-001-02-9,0.02248489593927961,0.025234957122206355,0.011739297845485453,K13606314,BRD-K13606314-001-01-3,P5091,ubiquitin specific protease inhibitor,0.010745598093794157,-0.0027500611829267448
16,BRD-K16189898-001-26-9,0.5654241731777601,1.0,1.0,K16189898,BRD-K16189898-003-03-3,CHIR-99021,glycogen synthase kinase inhibitor,-0.43457582682223994,-0.43457582682223994
17,BRD-K16803204-001-02-9,0.06568600905829389,0.08756656601770453,0.03241336677380982,K16803204,BRD-K16803204-001-01-6,filgotinib,JAK inhibitor,0.033272642284484066,-0.021880556959410644
18,BRD-K17953061-001-05-1,0.6935622101230086,1.0,0.6500793650793651,K17953061,BRD-K17953061-001-14-3,Staurosporine,Apoptosis inducer (ATP-competitive kinase inhibitor),0.043482845043643414,-0.30643778987699144
19,BRD-K19477839-001-10-9,0.05425296150197329,0.03347491551772617,0.022859714735969393,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,0.0313932467660039,0.020778045984247123
20,BRD-K19871656-001-01-3,0.8968253968253967,1.0,1.0,K19871656,BRD-K19871656-001-01-3,CPI-0610,bromodomain inhibitor,-0.10317460317460325,-0.10317460317460325
21,BRD-K20290250-001-03-9,0.2206058574937985,0.23227378321476105,0.1584022190346931,K20290250,BRD-K20290250-001-02-1,BIX-02188,MEK inhibitor,0.0622036384591054,-0.011667925720962563
22,BRD-K21728777-001-03-9,0.9270833333333333,1.0,1.0,K21728777,BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,-0.07291666666666674,-0.07291666666666674
23,BRD-K23383398-001-08-1,0.8430555555555556,0.10109245761912145,0.6231221903096902,K23383398,BRD-K23383398-001-09-9,T-0901317,LXR agonist,0.21993336524586538,0.7419630979364341
24,BRD-K24600306-003-02-9,0.008887586417584208,0.054628432982736806,0.024034622206059966,K24600306,BRD-K24600306-003-02-9,ML-298,phospholipase inhibitor,-0.015147035788475758,-0.0457408465651526
25,BRD-K24696047-001-03-9,0.6841269841269841,0.3877640021656237,0.6589285714285714,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,0.02519841269841272,0.29636298196136046
26,BRD-K25433859-003-03-1,0.014398662534440752,0.021027320115483174,0.14116563283380534,K25433859,BRD-K25433859-003-23-9,maprotiline,tricyclic antidepressant,-0.1267669702993646,-0.006628657581042422
27,BRD-K25611237-001-09-9,0.0303275038750778,0.08349364926550511,0.05027493874987471,K25611237,BRD-K25611237-001-02-1,ML324,histone lysine demethylase inhibitor,-0.01994743487479691,-0.053166145390427307
28,BRD-K28936863-051-14-0,0.06366725712453858,0.024263594207216976,0.038547737145931495,K28936863,BRD-K28936863-051-32-2,ketotifen,phosphodiesterase inhibitor,0.025119519978607084,0.0394036629173216
29,BRD-K30707190-001-06-9,0.026106453169796876,0.026107556145646575,0.01900981522471383,K30707190,BRD-K30707190-001-04-1,PNU-74654,beta-catenin inhibitor,0.007096637945083046,-1.1029758496990116e-06
30,BRD-K32730239-001-03-9,0.012972513852344934,0.009432631589004056,0.010784647278707645,K32730239,BRD-K32730239-001-01-0,SU3327,JNK inhibitor,0.002187866573637289,0.003539882263340878
31,BRD-K33818169-003-04-6,0.26202714078111,0.27069767752108237,0.03732076144453075,K33818169,BRD-K33818169-003-04-6,GW-3965,LXR agonist,0.22470637933657925,-0.008670536739972368
32,BRD-K36234266-001-10-6,0.03020197735240865,0.016600425662321276,0.0223922091960821,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,0.007809768156326547,0.013601551690087373
33,BRD-K37379014-001-02-0,0.9041666666666667,0.624186507936508,0.6226783433679985,K37379014,BRD-K37379014-001-01-2,filanesib,kinesin inhibitor,0.28148832329866813,0.2799801587301587
34,BRD-K38627885-001-01-9,0.9097222222222222,1.0,1.0,K38627885,BRD-K38627885-001-01-9,APY0201,phosphoinositide dependent kinase inhibitor,-0.09027777777777779,-0.09027777777777779
35,BRD-K39520573-001-01-2,0.07373619966430117,0.1591623642130517,0.045127259577761085,K39520573,BRD-K39520573-001-03-8,GW-5074,RAF inhibitor,0.028608940086540087,-0.08542616454875052
36,BRD-K39974922-001-05-9,0.3421757104683934,1.0,0.9791666666666666,K39974922,BRD-K39974922-001-04-3,lenvatinib,FGFR inhibitor,-0.6369909561982732,-0.6578242895316067
37,BRD-K44227013-001-15-9,0.9097222222222222,0.48283730158730154,0.6309163059163059,K44227013,BRD-K44227013-001-08-0,ponatinib,Bcr-Abl kinase inhibitor,0.27880591630591633,0.4268849206349207
38,BRD-K45909031-001-03-9,0.07066101668242297,0.10764986804905201,0.0723404884230702,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,-0.001679471740647226,-0.036988851366629036
39,BRD-K49669041-001-10-9,0.9097222222222222,0.9583333333333333,0.9315476190476191,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,-0.02182539682539686,-0.04861111111111105
40,BRD-K50055394-001-04-9,0.8791666666666667,0.48865701535450906,0.6573237628384687,K50055394,BRD-K50055394-001-03-6,halopemide,phospholipase inhibitor,0.22184290382819793,0.3905096513121576
41,BRD-K53665955-001-05-9,0.6277777777777778,0.46220410172616055,0.47685636123136116,K53665955,BRD-K53665955-001-03-0,MK-5108,Aurora kinase inhibitor,0.1509214165464166,0.1655736760516172
42,BRD-K53972329-001-12-9,0.2582214518941581,0.1204529987212528,0.055438568623184685,K53972329,BRD-K53972329-001-07-0,ruxolitinib,JAK inhibitor,0.20278288327097344,0.13776845317290531
43,BRD-K54759182-003-09-8,0.04870365727884188,0.026644821235381515,0.04377924001384785,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,0.004924417264994027,0.022058836043460362
44,BRD-K54955827-001-03-9,0.5931182121971595,0.9791666666666666,0.5899531024531024,K54955827,BRD-K54955827-001-02-2,niraparib,PARP inhibitor,0.0031651097440571485,-0.3860484544695071
45,BRD-K56301217-001-02-5,0.9666666666666667,0.6781746031746032,0.8576388888888888,K56301217,BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,0.10902777777777783,0.28849206349206347
46,BRD-K56932272-001-02-9,1.0,0.9513888888888888,0.4396804699063594,K56932272,BRD-K56932272-001-02-9,BMS-566419,inosine monophosphate dehydrogenase inhibitor,0.5603195300936405,0.04861111111111116
47,BRD-K57080016-001-19-1,0.58757215007215,0.5183013623803098,1.0,K57080016,BRD-K57080016-001-01-9,selumetinib,MEK inhibitor,-0.41242784992785,0.06927078769184025
48,BRD-K60130390-001-02-1,1.0,1.0,0.7979166666666667,K60130390,BRD-K60130390-001-02-1,UNC0642,histone lysine methyltransferase inhibitor,0.20208333333333328,0.0
49,BRD-K61397605-001-04-2,0.9166666666666666,0.6,0.42916666666666664,K61397605,BRD-K61397605-001-07-5,romidepsin,HDAC inhibitor,0.4875,0.31666666666666665
50,BRD-K61688984-001-04-5,0.9180555555555555,0.9791666666666666,1.0,K61688984,BRD-K61688984-001-02-9,RGFP966,HDAC inhibitor,-0.08194444444444449,-0.061111111111111116
51,BRD-K62391742-001-19-9,0.3624624674431176,0.2187300493628103,0.32241967112034575,K62391742,BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,0.040042796322771856,0.14373241808030732
52,BRD-K63631219-001-01-6,0.0171684646478038,0.03664189795233662,0.01368036992193085,K63631219,BRD-K63631219-001-01-6,quazinone,phosphodiesterase inhibitor,0.003488094725872951,-0.019473433304532817
53,BRD-K64881305-001-07-9,0.3198806498721288,0.09999576577470667,0.2552159010966564,K64881305,BRD-K64881305-001-05-2,ispinesib,kinesin inhibitor,0.0646647487754724,0.2198848840974221
54,BRD-K66401437-001-03-3,0.8854166666666666,0.8284722222222223,0.3849171539961014,K66401437,BRD-K66401437-001-03-3,THZ1,CDK inhibitor,0.5004995126705652,0.05694444444444435
55,BRD-K66430217-001-05-9,0.09987495271894538,0.03462231939689321,0.03386131858047147,K66430217,BRD-K66430217-001-03-8,KH-CB19,CDC inhibitor,0.06601363413847391,0.06525263332205217
56,BRD-K67578145-001-13-9,0.8916666666666667,1.0,0.5922733516483516,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,0.2993933150183151,-0.10833333333333328
57,BRD-K67772619-001-06-9,0.028133314931622723,0.2595924468408903,0.025899897528075706,K67772619,BRD-K67772619-001-05-1,rheochrysidin,protein tyrosine kinase inhibitor,0.0022334174035470167,-0.23145913190926756
58,BRD-K68756823-001-12-9,0.022535914925799212,0.06362750496133969,0.10837150779277095,K68756823,BRD-K68756823-001-07-1,FR-180204,MAP kinase inhibitor,-0.08583559286697173,-0.04109159003554048
59,BRD-K69023402-001-03-3,1.0,0.7284722222222222,1.0,K69023402,BRD-K69023402-001-07-4,Thapsigargin,ER stressor (SERCA inhibitor),0.0,0.2715277777777778
60,BRD-K70446295-001-04-9,0.22704619128914902,0.2295368662978083,0.5425708112625814,K70446295,BRD-K70446295-001-01-7,EPZ015666,protein arginine N-methyltransferase inhibitor,-0.3155246199734324,-0.0024906750086592933
61,BRD-K70578146-001-13-9,0.7449494949494949,0.7331439393939393,0.38763854679802956,K70578146,BRD-K70578146-001-09-1,DACTINOMYCIN,Apoptosis inducer (transcription inhibitor),0.35731094815146536,0.011805555555555625
62,BRD-K70642949-001-06-9,0.5185938928383964,0.875,0.7495791245791246,K70642949,BRD-K70642949-001-04-5,GSK2334470,phosphoinositide dependent kinase inhibitor,-0.23098523174072816,-0.3564061071616036
63,BRD-K72898849-001-03-9,0.8334415584415583,0.5110164141414142,0.9791666666666666,K72898849,BRD-K72898849-001-01-8,BLU9931,FGFR inhibitor,-0.1457251082251083,0.32242514430014413
64,BRD-K72951360-001-02-9,0.699810606060606,0.5800560428849902,0.4247114507459335,K72951360,BRD-K72951360-001-01-4,valrubicin,DNA inhibitor,0.27509915531467244,0.11975456317561572
65,BRD-K73397362-001-09-9,0.2734829294648993,0.17811234435294584,0.19912297656174927,K73397362,BRD-K73397362-001-06-6,purmorphamine,smoothened receptor agonist,0.07435995290315006,0.09537058511195348
66,BRD-K73982490-001-04-9,0.023534791753386002,0.04183803807873086,0.01314603744661886,K73982490,BRD-K73982490-001-02-9,BI-78D3,JNK inhibitor,0.010388754306767143,-0.01830324632534486
67,BRD-K75009076-001-04-9,0.7891865079365079,1.0,0.5214405677228953,K75009076,BRD-K75009076-001-02-1,SCH-900776,CHK inhibitor,0.26774594021361264,-0.2108134920634921
68,BRD-K76908866-001-08-9,0.017502009539681746,0.04595042286634634,0.17246768255843695,K76908866,BRD-K76908866-001-07-6,CP-724714,EGFR inhibitor,-0.1549656730187552,-0.028448413326664593
69,BRD-K82164249-001-03-5,0.04047577496321185,0.038186486125156446,0.03710350443658388,K82164249,BRD-K82164249-001-03-5,andarine,androgen receptor modulator,0.003372270526627967,0.0022892888380554033
70,BRD-K82941592-238-06-9,0.04517148384530613,0.029302781132119548,0.17521043926221444,K82941592,BRD-K82941592-238-03-7,rosuvastatin,HMGCR inhibitor,-0.1300389554169083,0.01586870271318658
71,BRD-K83192048-050-01-9,0.04240428192923572,0.13014459686660684,0.11647597134694804,K83192048,BRD-K83192048-050-03-5,dimethindene-(S)-(+),acetylcholine receptor antagonist,-0.07407168941771232,-0.08774031493737112
72,BRD-K83607951-001-04-9,0.2857310210457726,0.4206664862914863,0.38009068477818475,K83607951,BRD-K83607951-001-02-2,skepinone-l,p38 MAPK inhibitor,-0.09435966373241217,-0.1349354652457137
73,BRD-K84937637-001-21-9,1.0,0.9791666666666666,1.0,K84937637,BRD-K84937637-001-11-5,sirolimus,mTOR inhibitor,0.0,0.02083333333333337
74,BRD-K85606544-001-07-5,1.0,1.0,1.0,K85606544,BRD-K85606544-001-09-1,neratinib,EGFR inhibitor,0.0,0.0
75,BRD-K85776940-001-01-9,0.022299156471077757,0.018711526352367624,0.10312752493300735,K85776940,BRD-K85776940-001-01-9,delta-Tocotrienol,HMGCR inhibitor,-0.08082836846192959,0.0035876301187101334
76,BRD-K86118762-001-05-9,0.3402279977647624,0.5132783882783883,0.8208333333333333,K86118762,BRD-K86118762-001-08-9,linsitinib,IGF-1 inhibitor,-0.4806053355685709,-0.17305039051362592
77,BRD-K86718786-001-03-9,0.17048690978410008,0.04563628441538039,0.027162646205354454,K86718786,BRD-K86718786-001-03-9,SGC-707,protein arginine N-methyltransferase inhibitor,0.14332426357874561,0.12485062536871969
78,BRD-K87632963-001-05-9,0.31676234550163035,0.4821403424950335,0.6049859343702132,K87632963,BRD-K87632963-001-05-9,GNF-5,Bcr-Abl kinase inhibitor,-0.28822358886858285,-0.16537799699340316
79,BRD-K88677950-001-04-9,0.3246913873289948,0.21984025466607732,0.4803109500686629,K88677950,BRD-K88677950-001-03-9,PD-198306,MAP kinase inhibitor,-0.15561956273966815,0.10485113266291746
80,BRD-K91900765-001-09-9,0.033945904171806984,0.1731837907490402,0.03267936782113004,K91900765,BRD-K91900765-001-08-4,VX-745,p38 MAPK inhibitor,0.0012665363506769445,-0.1392378865772332
81,BRD-K93942811-001-03-9,0.06952250117918726,0.1397571840718938,0.13365538899768287,K93942811,BRD-K93942811-001-01-3,ML-323,ubiquitin specific protease inhibitor,-0.0641328878184956,-0.07023468289270654
82,BRD-K94455792-001-01-8,0.44779294779294776,0.543670319601,0.23714080184145345,K94455792,BRD-K94455792-001-01-8,ICG-001,beta-catenin inhibitor,0.2106521459514943,-0.09587737180805223
83,BRD-K97452254-001-02-9,1.0,1.0,1.0,K97452254,BRD-K97452254-001-01-3,AMG-925,CDK inhibitor,0.0,0.0
84,BRD-K98203492-001-06-9,0.9047619047619048,1.0,1.0,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,-0.09523809523809523,-0.09523809523809523
85,BRD-K98251413-001-07-9,0.034380644784609185,0.207946280119936,0.21859098106765146,K98251413,BRD-K98251413-001-04-0,IOX2,hypoxia inducible factor inhibitor,-0.1842103362830423,-0.17356563533532682
86,BRD-K99092662-001-02-9,0.18196175251178207,0.03836758415948279,0.11117036829641117,K99092662,BRD-K99092662-001-01-1,PS178990,androgen receptor modulator,0.0707913842153709,0.14359416835229927
87,BRD-K99113996-001-02-0,1.0,1.0,1.0,K99113996,BRD-K99113996-001-02-0,AZD2014,mTOR inhibitor,0.0,0.0
88,BRD-K99433989-001-02-9,0.16227213998063067,0.6988095238095238,0.354452205506378,K99433989,BRD-K99433989-001-02-9,SAG,smoothened receptor agonist,-0.19218006552574735,-0.5365373838288932
89,BRD-M87138257-003-01-1,0.9388888888888889,0.698561507936508,0.45075357010139616,M87138257,BRD-M87138257-003-01-1,acriflavine,hypoxia inducible factor inhibitor,0.4881353187874927,0.24032738095238093
