,Metadata_plate_map_name,Metadata_control_type,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_broad_sample.1,Metadata_BRD with batch,Metadata_Common Name,Metadata_MoA,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Object_Count,Metadata_batch,average_precision,p_value
17,S-C-7314-04-CMP-001,trt,BRD-K49669041-001-10-9,2.3568,5.0,DMSO,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,BR00122249,A18,9,1444,1444,1444,1444,2023_08_02_Batch5,1.0,0.00059994
18,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122249,A19,9,3911,3911,3911,3911,2023_08_02_Batch5,,1.0
19,S-C-7314-04-CMP-001,trt,BRD-K45909031-001-03-9,2.4849,5.0,DMSO,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,BR00122249,A20,9,3136,3136,3136,3136,2023_08_02_Batch5,1.0,0.00059994
20,S-C-7314-04-CMP-001,trt,BRD-K38627885-001-01-9,2.0674,5.0,DMSO,K38627885,BRD-K38627885-001-01-9,APY0201,phosphoinositide dependent kinase inhibitor,BR00122249,A21,9,2301,2301,2301,2301,2023_08_02_Batch5,1.0,0.00059994
21,S-C-7314-04-CMP-001,trt,BRD-K99092662-001-02-9,1.5286,5.0,DMSO,K99092662,BRD-K99092662-001-01-1,PS178990,androgen receptor modulator,BR00122249,A22,9,3999,3999,3999,3999,2023_08_02_Batch5,0.19345238095238093,0.39076093
22,S-C-7314-04-CMP-001,trt,BRD-K21728777-001-03-9,2.5179,5.0,DMSO,K21728777,BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,BR00122249,A23,9,932,932,932,932,2023_08_02_Batch5,1.0,0.00059994
23,S-C-7314-04-CMP-001,trt,BRD-K75009076-001-04-9,1.8813,5.0,DMSO,K75009076,BRD-K75009076-001-02-1,SCH-900776,CHK inhibitor,BR00122249,A24,9,815,815,815,815,2023_08_02_Batch5,0.8333333333333334,0.00109989
24,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122249,B01,9,4050,4050,4050,4050,2023_08_02_Batch5,,1.0
25,S-C-7314-04-CMP-001,trt,BRD-K67578145-001-13-9,1.6719,5.0,DMSO,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,BR00122249,B02,9,3867,3867,3867,3867,2023_08_02_Batch5,1.0,0.00059994
26,S-C-7314-04-CMP-001,trt,BRD-K67578145-001-13-9,1.6719,5.0,DMSO,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,BR00122249,B03,9,4555,4555,4555,4555,2023_08_02_Batch5,0.8333333333333334,0.00109989
27,S-C-7314-04-CMP-001,trt,BRD-K56301217-001-02-5,4.0671,5.0,DMSO,K56301217,BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,BR00122249,B04,9,3036,3036,3036,3036,2023_08_02_Batch5,1.0,0.00059994
28,S-C-7314-04-CMP-001,trt,BRD-K02965346-001-01-8,2.8404,5.0,DMSO,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,BR00122249,B05,9,2090,2090,2090,2090,2023_08_02_Batch5,1.0,0.00059994
29,S-C-7314-04-CMP-001,trt,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122249,B06,9,3727,3727,3727,3727,2023_08_02_Batch5,1.0,0.00059994
30,S-C-7314-04-CMP-001,trt,BRD-K99433989-001-02-9,2.4503,5.0,DMSO,K99433989,BRD-K99433989-001-02-9,SAG,smoothened receptor agonist,BR00122249,B07,9,3600,3600,3600,3600,2023_08_02_Batch5,1.0,0.00059994
31,S-C-7314-04-CMP-001,trt,BRD-K45909031-001-03-9,2.4849,5.0,DMSO,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,BR00122249,B08,9,3579,3579,3579,3579,2023_08_02_Batch5,1.0,0.00059994
32,S-C-7314-04-CMP-001,trt,BRD-A22769835-300-05-7,1.9389,5.0,DMSO,A22769835,BRD-A22769835-300-05-7,homochlorcyclizine,antihistamine,BR00122249,B09,9,3951,3951,3951,3951,2023_08_02_Batch5,1.0,0.00059994
33,S-C-7314-04-CMP-001,trt,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122249,B10,9,1421,1421,1421,1421,2023_08_02_Batch5,1.0,0.00059994
34,S-C-7314-04-CMP-001,trt,BRD-K06883221-001-02-9,2.0725,5.0,DMSO,K06883221,BRD-K06883221-001-01-9,apratastat,tumor necrosis factor production inhibitor,BR00122249,B11,9,3918,3918,3918,3918,2023_08_02_Batch5,0.2897727272727273,0.1860814
35,S-C-7314-04-CMP-001,trt,BRD-K66430217-001-05-9,1.6909,5.0,DMSO,K66430217,BRD-K66430217-001-03-8,KH-CB19,CDC inhibitor,BR00122249,B12,9,4227,4227,4227,4227,2023_08_02_Batch5,0.48888888888888893,0.0449955
36,S-C-7314-04-CMP-001,trt,BRD-K84937637-001-21-9,4.5709,5.0,DMSO,K84937637,BRD-K84937637-001-11-5,sirolimus,mTOR inhibitor,BR00122249,B13,9,2744,2744,2744,2744,2023_08_02_Batch5,1.0,0.00059994
37,S-C-7314-04-CMP-001,trt,BRD-K93942811-001-03-9,1.9224,5.0,DMSO,K93942811,BRD-K93942811-001-01-3,ML-323,ubiquitin specific protease inhibitor,BR00122249,B14,9,3701,3701,3701,3701,2023_08_02_Batch5,1.0,0.00059994
38,S-C-7314-04-CMP-001,trt,BRD-A53576514-048-02-8,2.3075,5.0,DMSO,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,BR00122249,B15,9,3994,3994,3994,3994,2023_08_02_Batch5,0.30757575757575756,0.1689831
39,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122249,B16,9,4168,4168,4168,4168,2023_08_02_Batch5,,1.0
40,S-C-7314-04-CMP-001,trt,BRD-K56932272-001-02-9,2.4378,5.0,DMSO,K56932272,BRD-K56932272-001-02-9,BMS-566419,inosine monophosphate dehydrogenase inhibitor,BR00122249,B17,9,2427,2427,2427,2427,2023_08_02_Batch5,1.0,0.00059994
41,S-C-7314-04-CMP-001,trt,BRD-K24600306-003-02-9,2.3445,5.0,DMSO,K24600306,BRD-K24600306-003-02-9,ML-298,phospholipase inhibitor,BR00122249,B18,9,4026,4026,4026,4026,2023_08_02_Batch5,1.0,0.00059994
42,S-C-7314-04-CMP-001,trt,BRD-M87138257-003-01-1,2.3499,5.0,DMSO,M87138257,BRD-M87138257-003-01-1,acriflavine,hypoxia inducible factor inhibitor,BR00122249,B19,9,412,412,412,412,2023_08_02_Batch5,1.0,0.00059994
43,S-C-7314-04-CMP-001,trt,BRD-K09372874-001-02-9,2.2623,5.0,DMSO,K09372874,BRD-K09372874-001-01-0,merimepodib,inosine monophosphate dehydrogenase inhibitor,BR00122249,B20,9,1616,1616,1616,1616,2023_08_02_Batch5,1.0,0.00059994
44,S-C-7314-04-CMP-001,trt,BRD-K76908866-001-08-9,2.3477,5.0,DMSO,K76908866,BRD-K76908866-001-07-6,CP-724714,EGFR inhibitor,BR00122249,B21,9,3853,3853,3853,3853,2023_08_02_Batch5,1.0,0.00059994
45,S-C-7314-04-CMP-001,trt,BRD-K64881305-001-07-9,2.5853,5.0,DMSO,K64881305,BRD-K64881305-001-05-2,ispinesib,kinesin inhibitor,BR00122249,B22,9,610,610,610,610,2023_08_02_Batch5,1.0,0.00059994
46,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122249,B23,9,4273,4273,4273,4273,2023_08_02_Batch5,,1.0
47,S-C-7314-04-CMP-001,trt,BRD-K49669041-001-10-9,2.3568,5.0,DMSO,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,BR00122249,B24,9,1180,1180,1180,1180,2023_08_02_Batch5,1.0,0.00059994
48,S-C-7314-04-CMP-001,trt,BRD-K72951360-001-02-9,3.6182,5.0,DMSO,K72951360,BRD-K72951360-001-01-4,valrubicin,DNA inhibitor,BR00122249,C01,9,236,236,236,236,2023_08_02_Batch5,1.0,0.00059994
49,S-C-7314-04-CMP-001,trt,BRD-K16189898-001-26-9,2.3267,5.0,DMSO,K16189898,BRD-K16189898-003-03-3,CHIR-99021,glycogen synthase kinase inhibitor,BR00122249,C02,9,3388,3388,3388,3388,2023_08_02_Batch5,1.0,0.00059994
50,S-C-7314-04-CMP-001,trt,BRD-M87138257-003-01-1,2.3499,5.0,DMSO,M87138257,BRD-M87138257-003-01-1,acriflavine,hypoxia inducible factor inhibitor,BR00122249,C03,9,348,348,348,348,2023_08_02_Batch5,1.0,0.00059994
51,S-C-7314-04-CMP-001,trt,BRD-K99433989-001-02-9,2.4503,5.0,DMSO,K99433989,BRD-K99433989-001-02-9,SAG,smoothened receptor agonist,BR00122249,C04,9,3721,3721,3721,3721,2023_08_02_Batch5,1.0,0.00059994
52,S-C-7314-04-CMP-001,trt,BRD-K85776940-001-01-9,1.983,5.0,DMSO,K85776940,BRD-K85776940-001-01-9,delta-Tocotrienol,HMGCR inhibitor,BR00122249,C05,9,4178,4178,4178,4178,2023_08_02_Batch5,0.19166666666666665,0.39436057
53,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122249,C06,9,4080,4080,4080,4080,2023_08_02_Batch5,,1.0
54,S-C-7314-04-CMP-001,trt,BRD-K70578146-001-13-9,0.16697,0.133,DMSO,K70578146,BRD-K70578146-001-09-1,DACTINOMYCIN,Apoptosis inducer (transcription inhibitor),BR00122249,C07,9,489,489,489,489,2023_08_02_Batch5,1.0,0.00059994
55,S-C-7314-04-CMP-001,trt,BRD-K97452254-001-02-9,2.3578,5.0,DMSO,K97452254,BRD-K97452254-001-01-3,AMG-925,CDK inhibitor,BR00122249,C08,9,2337,2337,2337,2337,2023_08_02_Batch5,1.0,0.00059994
56,S-C-7314-04-CMP-001,trt,BRD-K68756823-001-12-9,1.6367,5.0,DMSO,K68756823,BRD-K68756823-001-07-1,FR-180204,MAP kinase inhibitor,BR00122249,C09,9,4170,4170,4170,4170,2023_08_02_Batch5,0.9166666666666666,0.00079992
57,S-C-7314-04-CMP-001,trt,BRD-K60130390-001-02-1,2.7335,5.0,DMSO,K60130390,BRD-K60130390-001-02-1,UNC0642,histone lysine methyltransferase inhibitor,BR00122249,C10,9,3639,3639,3639,3639,2023_08_02_Batch5,1.0,0.00059994
58,S-C-7314-04-CMP-001,trt,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122249,C11,9,1439,1439,1439,1439,2023_08_02_Batch5,1.0,0.00059994
59,S-C-7314-04-CMP-001,trt,BRD-K57080016-001-19-1,2.2884,5.0,DMSO,K57080016,BRD-K57080016-001-01-9,selumetinib,MEK inhibitor,BR00122249,C12,9,3545,3545,3545,3545,2023_08_02_Batch5,0.9166666666666666,0.00079992
60,S-C-7314-04-CMP-001,trt,BRD-K39520573-001-01-2,2.6047,5.0,DMSO,K39520573,BRD-K39520573-001-03-8,GW-5074,RAF inhibitor,BR00122249,C13,9,3991,3991,3991,3991,2023_08_02_Batch5,0.7555555555555555,0.00359964
61,S-C-7314-04-CMP-001,trt,BRD-K61397605-001-04-2,2.7035,5.0,DMSO,K61397605,BRD-K61397605-001-07-5,romidepsin,HDAC inhibitor,BR00122249,C14,9,620,620,620,620,2023_08_02_Batch5,1.0,0.00059994
62,S-C-7314-04-CMP-001,trt,BRD-K61688984-001-04-5,1.812,5.0,DMSO,K61688984,BRD-K61688984-001-02-9,RGFP966,HDAC inhibitor,BR00122249,C15,9,2840,2840,2840,2840,2023_08_02_Batch5,1.0,0.00059994
63,S-C-7314-04-CMP-001,trt,BRD-K37379014-001-02-0,2.1024,5.0,DMSO,K37379014,BRD-K37379014-001-01-2,filanesib,kinesin inhibitor,BR00122249,C16,9,674,674,674,674,2023_08_02_Batch5,1.0,0.00059994
64,S-C-7314-04-CMP-001,trt,BRD-K19477839-001-10-9,1.797,5.0,DMSO,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,BR00122249,C17,9,3962,3962,3962,3962,2023_08_02_Batch5,0.2809523809523809,0.19898011
65,S-C-7314-04-CMP-001,trt,BRD-K28936863-051-14-0,2.1275,5.0,DMSO,K28936863,BRD-K28936863-051-32-2,ketotifen,phosphodiesterase inhibitor,BR00122249,C18,9,4035,4035,4035,4035,2023_08_02_Batch5,1.0,0.00059994
66,S-C-7314-04-CMP-001,trt,BRD-K67772619-001-06-9,1.4213,5.0,DMSO,K67772619,BRD-K67772619-001-05-1,rheochrysidin,protein tyrosine kinase inhibitor,BR00122249,C19,9,3780,3780,3780,3780,2023_08_02_Batch5,1.0,0.00059994
67,S-C-7314-04-CMP-001,trt,BRD-A53576514-048-02-8,2.3075,5.0,DMSO,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,BR00122249,C20,9,4085,4085,4085,4085,2023_08_02_Batch5,0.5555555555555555,0.02339766
68,S-C-7314-04-CMP-001,trt,BRD-K91900765-001-09-9,2.1813,5.0,DMSO,K91900765,BRD-K91900765-001-08-4,VX-745,p38 MAPK inhibitor,BR00122249,C21,9,3889,3889,3889,3889,2023_08_02_Batch5,0.5069444444444444,0.03869613
69,S-C-7314-04-CMP-001,trt,BRD-K56301217-001-02-5,4.0671,5.0,DMSO,K56301217,BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,BR00122249,C22,9,3030,3030,3030,3030,2023_08_02_Batch5,1.0,0.00059994
70,S-C-7314-04-CMP-001,trt,BRD-K23383398-001-08-1,2.4067,5.0,DMSO,K23383398,BRD-K23383398-001-09-9,T-0901317,LXR agonist,BR00122249,C23,9,3771,3771,3771,3771,2023_08_02_Batch5,1.0,0.00059994
71,S-C-7314-04-CMP-001,trt,BRD-K24696047-001-03-9,2.1978,5.0,DMSO,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,BR00122249,C24,9,2829,2829,2829,2829,2023_08_02_Batch5,1.0,0.00059994
72,S-C-7314-04-CMP-001,trt,BRD-K00818915-001-02-9,1.7613,5.0,DMSO,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,BR00122249,D01,9,3828,3828,3828,3828,2023_08_02_Batch5,0.9166666666666666,0.00079992
73,S-C-7314-04-CMP-001,trt,BRD-K39974922-001-05-9,2.1343,5.0,DMSO,K39974922,BRD-K39974922-001-04-3,lenvatinib,FGFR inhibitor,BR00122249,D02,9,2995,2995,2995,2995,2023_08_02_Batch5,1.0,0.00059994
74,S-C-7314-04-CMP-001,trt,BRD-K61397605-001-04-2,2.7035,5.0,DMSO,K61397605,BRD-K61397605-001-07-5,romidepsin,HDAC inhibitor,BR00122249,D03,9,671,671,671,671,2023_08_02_Batch5,1.0,0.00059994
75,S-C-7314-04-CMP-001,trt,BRD-K50055394-001-04-9,2.0844,5.0,DMSO,K50055394,BRD-K50055394-001-03-6,halopemide,phospholipase inhibitor,BR00122249,D04,9,4166,4166,4166,4166,2023_08_02_Batch5,1.0,0.00059994
76,S-C-7314-04-CMP-001,trt,BRD-K49669041-001-10-9,2.3568,5.0,DMSO,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,BR00122249,D05,9,1634,1634,1634,1634,2023_08_02_Batch5,1.0,0.00059994
77,S-C-7314-04-CMP-001,trt,BRD-A12994259-001-11-9,1.3662,5.0,DMSO,A12994259,BRD-A12994259-001-02-1,pomalidomide,tumor necrosis factor production inhibitor,BR00122249,D06,9,4055,4055,4055,4055,2023_08_02_Batch5,0.4280936454849498,0.091590844
78,S-C-7314-04-CMP-001,trt,BRD-K73982490-001-04-9,1.8969,5.0,DMSO,K73982490,BRD-K73982490-001-02-9,BI-78D3,JNK inhibitor,BR00122249,D07,9,4121,4121,4121,4121,2023_08_02_Batch5,0.14227272727272727,0.60533947
79,S-C-7314-04-CMP-001,trt,BRD-K19871656-001-01-3,1.8291,5.0,DMSO,K19871656,BRD-K19871656-001-01-3,CPI-0610,bromodomain inhibitor,BR00122249,D08,9,3115,3115,3115,3115,2023_08_02_Batch5,1.0,0.00059994
80,S-C-7314-04-CMP-001,trt,BRD-K68756823-001-12-9,1.6367,5.0,DMSO,K68756823,BRD-K68756823-001-07-1,FR-180204,MAP kinase inhibitor,BR00122249,D09,9,4192,4192,4192,4192,2023_08_02_Batch5,0.9166666666666666,0.00079992
81,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122249,D10,9,3934,3934,3934,3934,2023_08_02_Batch5,,1.0
82,S-C-7314-04-CMP-001,trt,BRD-K63631219-001-01-6,1.1784,5.0,DMSO,K63631219,BRD-K63631219-001-01-6,quazinone,phosphodiesterase inhibitor,BR00122249,D11,9,3980,3980,3980,3980,2023_08_02_Batch5,0.14989177489177488,0.5632437
83,S-C-7314-04-CMP-001,trt,BRD-K99113996-001-02-0,2.3127,5.0,DMSO,K99113996,BRD-K99113996-001-02-0,AZD2014,mTOR inhibitor,BR00122249,D12,9,1441,1441,1441,1441,2023_08_02_Batch5,1.0,0.00059994
84,S-C-7314-04-CMP-001,trt,BRD-K99113996-001-02-0,2.3127,5.0,DMSO,K99113996,BRD-K99113996-001-02-0,AZD2014,mTOR inhibitor,BR00122249,D13,9,1537,1537,1537,1537,2023_08_02_Batch5,1.0,0.00059994
85,S-C-7314-04-CMP-001,trt,BRD-K01826510-001-09-9,1.8745,5.0,DMSO,K01826510,BRD-K01826510-300-06-9,hydroxyzine,antihistamine,BR00122249,D14,9,4097,4097,4097,4097,2023_08_02_Batch5,1.0,0.00059994
86,S-C-7314-04-CMP-001,trt,BRD-K37379014-001-02-0,2.1024,5.0,DMSO,K37379014,BRD-K37379014-001-01-2,filanesib,kinesin inhibitor,BR00122249,D15,9,774,774,774,774,2023_08_02_Batch5,1.0,0.00059994
87,S-C-7314-04-CMP-001,trt,BRD-K98251413-001-07-9,1.7617,5.0,DMSO,K98251413,BRD-K98251413-001-04-0,IOX2,hypoxia inducible factor inhibitor,BR00122249,D16,9,3936,3936,3936,3936,2023_08_02_Batch5,0.2621082621082621,0.22957705
88,S-C-7314-04-CMP-001,trt,BRD-K44227013-001-15-9,2.6628,5.0,DMSO,K44227013,BRD-K44227013-001-08-0,ponatinib,Bcr-Abl kinase inhibitor,BR00122249,D17,9,604,604,604,604,2023_08_02_Batch5,1.0,0.00059994
89,S-C-7314-04-CMP-001,trt,BRD-K20290250-001-03-9,2.0624,5.0,DMSO,K20290250,BRD-K20290250-001-02-1,BIX-02188,MEK inhibitor,BR00122249,D18,9,3918,3918,3918,3918,2023_08_02_Batch5,1.0,0.00059994
90,S-C-7314-04-CMP-001,trt,BRD-K24696047-001-03-9,2.1978,5.0,DMSO,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,BR00122249,D19,9,3024,3024,3024,3024,2023_08_02_Batch5,1.0,0.00059994
91,S-C-7314-04-CMP-001,trt,BRD-K00818915-001-02-9,1.7613,5.0,DMSO,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,BR00122249,D20,9,3937,3937,3937,3937,2023_08_02_Batch5,1.0,0.00059994
92,S-C-7314-04-CMP-001,trt,BRD-K03063480-001-08-9,2.0974,5.0,DMSO,K03063480,BRD-K03063480-001-06-6,PF-477736,CHK inhibitor,BR00122249,D21,9,392,392,392,392,2023_08_02_Batch5,1.0,0.00059994
93,S-C-7314-04-CMP-001,trt,BRD-K24696047-001-03-9,2.1978,5.0,DMSO,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,BR00122249,D22,9,2955,2955,2955,2955,2023_08_02_Batch5,1.0,0.00059994
94,S-C-7314-04-CMP-001,trt,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122249,D23,9,3889,3889,3889,3889,2023_08_02_Batch5,1.0,0.00059994
95,S-C-7314-04-CMP-001,trt,BRD-K99092662-001-02-9,1.5286,5.0,DMSO,K99092662,BRD-K99092662-001-01-1,PS178990,androgen receptor modulator,BR00122249,D24,9,3978,3978,3978,3978,2023_08_02_Batch5,0.1707509881422925,0.47035298
96,S-C-7314-04-CMP-001,trt,BRD-K00818915-001-02-9,1.7613,5.0,DMSO,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,BR00122249,E01,9,3951,3951,3951,3951,2023_08_02_Batch5,0.9166666666666666,0.00079992
97,S-C-7314-04-CMP-001,trt,BRD-K39974922-001-05-9,2.1343,5.0,DMSO,K39974922,BRD-K39974922-001-04-3,lenvatinib,FGFR inhibitor,BR00122249,E02,9,3315,3315,3315,3315,2023_08_02_Batch5,1.0,0.00059994
98,S-C-7314-04-CMP-001,trt,BRD-K19871656-001-01-3,1.8291,5.0,DMSO,K19871656,BRD-K19871656-001-01-3,CPI-0610,bromodomain inhibitor,BR00122249,E03,9,3189,3189,3189,3189,2023_08_02_Batch5,1.0,0.00059994
99,S-C-7314-04-CMP-001,trt,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122249,E04,9,1484,1484,1484,1484,2023_08_02_Batch5,1.0,0.00059994
100,S-C-7314-04-CMP-001,trt,BRD-K28936863-051-14-0,2.1275,5.0,DMSO,K28936863,BRD-K28936863-051-32-2,ketotifen,phosphodiesterase inhibitor,BR00122249,E05,9,4094,4094,4094,4094,2023_08_02_Batch5,1.0,0.00059994
101,S-C-7314-04-CMP-001,trt,BRD-K04923131-001-17-9,1.7809,5.0,DMSO,K04923131,BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,glycogen synthase kinase inhibitor,BR00122249,E06,9,1806,1806,1806,1806,2023_08_02_Batch5,1.0,0.00059994
102,S-C-7314-04-CMP-001,trt,BRD-K36234266-001-10-6,1.0702,5.0,DMSO,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,BR00122249,E07,9,4021,4021,4021,4021,2023_08_02_Batch5,0.09906759906759906,0.8951105
