,Metadata_broad_sample_x,average_precision_std,average_precision_mito,average_precision_act,BRD ID,Metadata_broad_sample_y,Common Name,MoA,std_vs_act,std_vs_mito
58,BRD-K68756823-001-12-9,0.015639518464346358,0.10259771561036879,0.1903836418340812,K68756823,BRD-K68756823-001-07-1,FR-180204,MAP kinase inhibitor,-0.17474412336973486,-0.08695819714602243
59,BRD-K69023402-001-03-3,1.0,0.7694940476190476,1.0,K69023402,BRD-K69023402-001-07-4,Thapsigargin,ER stressor (SERCA inhibitor),0.0,0.2305059523809524
60,BRD-K70446295-001-04-9,0.7281944444444444,0.25825385631019804,0.8888888888888888,K70446295,BRD-K70446295-001-01-7,EPZ015666,protein arginine N-methyltransferase inhibitor,-0.16069444444444447,0.46994058813424633
61,BRD-K70578146-001-13-9,0.6701388888888888,0.6709415584415583,0.4832902001380262,K70578146,BRD-K70578146-001-09-1,DACTINOMYCIN,Apoptosis inducer (transcription inhibitor),0.18684868875086263,-0.0008026695526694994
62,BRD-K70642949-001-06-9,0.8687499999999999,0.6045482295482296,0.5264890304412363,K70642949,BRD-K70642949-001-04-5,GSK2334470,phosphoinositide dependent kinase inhibitor,0.3422609695587636,0.2642017704517703
63,BRD-K72898849-001-03-9,0.4930377492877493,0.5514099326599327,0.776034151034151,K72898849,BRD-K72898849-001-01-8,BLU9931,FGFR inhibitor,-0.28299640174640167,-0.05837218337218336
64,BRD-K72951360-001-02-9,0.27918801106301105,0.4548294200582933,0.4536352657004831,K72951360,BRD-K72951360-001-01-4,valrubicin,DNA inhibitor,-0.17444725463747207,-0.17564140899528224
65,BRD-K73397362-001-09-9,0.2403829355741468,0.3450826306585673,0.16068520998011276,K73397362,BRD-K73397362-001-06-6,purmorphamine,smoothened receptor agonist,0.07969772559403404,-0.10469969508442051
66,BRD-K73982490-001-04-9,0.01573768554708111,0.022443840745804536,0.016571177589164928,K73982490,BRD-K73982490-001-02-9,BI-78D3,JNK inhibitor,-0.0008334920420838172,-0.006706155198723425
67,BRD-K75009076-001-04-9,0.8523809523809524,0.8958333333333333,0.5585069444444444,K75009076,BRD-K75009076-001-02-1,SCH-900776,CHK inhibitor,0.293874007936508,-0.04345238095238091
68,BRD-K76908866-001-08-9,0.04251323931992798,0.13511054109653212,0.1443778465102899,K76908866,BRD-K76908866-001-07-6,CP-724714,EGFR inhibitor,-0.10186460719036192,-0.09259730177660414
69,BRD-K82164249-001-03-5,0.015842296847417954,0.013886339337545255,0.02865084137198877,K82164249,BRD-K82164249-001-03-5,andarine,androgen receptor modulator,-0.012808544524570815,0.001955957509872699
70,BRD-K82941592-238-06-9,0.12844242325213168,0.01897936662669895,0.2496823916856766,K82941592,BRD-K82941592-238-03-7,rosuvastatin,HMGCR inhibitor,-0.12123996843354493,0.10946305662543272
71,BRD-K83192048-050-01-9,0.04326587796613784,0.074304922603174,0.13261644734242067,K83192048,BRD-K83192048-050-03-5,dimethindene-(S)-(+),acetylcholine receptor antagonist,-0.08935056937628283,-0.03103904463703617
72,BRD-K83607951-001-04-9,0.9150641025641025,0.7586247086247087,0.5446661998132587,K83607951,BRD-K83607951-001-02-2,skepinone-l,p38 MAPK inhibitor,0.37039790275084383,0.15643939393939388
73,BRD-K84937637-001-21-9,1.0,1.0,1.0,K84937637,BRD-K84937637-001-11-5,sirolimus,mTOR inhibitor,0.0,0.0
74,BRD-K85606544-001-07-5,1.0,0.7617456896551724,1.0,K85606544,BRD-K85606544-001-09-1,neratinib,EGFR inhibitor,0.0,0.23825431034482758
75,BRD-K85776940-001-01-9,0.015995926809545258,0.01751933968495625,0.020678012275565795,K85776940,BRD-K85776940-001-01-9,delta-Tocotrienol,HMGCR inhibitor,-0.004682085466020537,-0.001523412875410992
76,BRD-K86118762-001-05-9,0.5617084832438093,0.5846553773024361,0.5925907953761215,K86118762,BRD-K86118762-001-08-9,linsitinib,IGF-1 inhibitor,-0.030882312132312184,-0.02294689405862682
77,BRD-K86718786-001-03-9,0.2036967888613305,0.031819352888542235,0.016276943136201066,K86718786,BRD-K86718786-001-03-9,SGC-707,protein arginine N-methyltransferase inhibitor,0.18741984572512943,0.17187743597278826
78,BRD-K87632963-001-05-9,0.404448580226624,0.5732698841966576,0.7873093681917211,K87632963,BRD-K87632963-001-05-9,GNF-5,Bcr-Abl kinase inhibitor,-0.38286078796509715,-0.1688213039700336
79,BRD-K88677950-001-04-9,0.35148282340311326,0.2973996401109277,0.6117481552264161,K88677950,BRD-K88677950-001-03-9,PD-198306,MAP kinase inhibitor,-0.26026533182330286,0.05408318329218559
80,BRD-K91900765-001-09-9,0.17519947683481382,0.2083084911834478,0.17409926068136042,K91900765,BRD-K91900765-001-08-4,VX-745,p38 MAPK inhibitor,0.0011002161534534038,-0.033109014348633975
81,BRD-K93942811-001-03-9,0.14265512226576144,0.20097289512335278,0.10404669424345966,K93942811,BRD-K93942811-001-01-3,ML-323,ubiquitin specific protease inhibitor,0.03860842802230177,-0.05831777285759135
82,BRD-K94455792-001-01-8,0.9666666666666667,0.5799056820795951,0.49058382976810033,K94455792,BRD-K94455792-001-01-8,ICG-001,beta-catenin inhibitor,0.47608283689856634,0.38676098458707153
83,BRD-K97452254-001-02-9,0.4414319959958905,1.0,1.0,K97452254,BRD-K97452254-001-01-3,AMG-925,CDK inhibitor,-0.5585680040041094,-0.5585680040041094
84,BRD-K98203492-001-06-9,0.8255248335893497,1.0,1.0,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,-0.1744751664106503,-0.1744751664106503
85,BRD-K98251413-001-07-9,0.02698441531489446,0.16781486544373744,0.42261904761904756,K98251413,BRD-K98251413-001-04-0,IOX2,hypoxia inducible factor inhibitor,-0.3956346323041531,-0.140830450128843
86,BRD-K99092662-001-02-9,0.17674084430433268,0.027099717923755,0.06818203127765064,K99092662,BRD-K99092662-001-01-1,PS178990,androgen receptor modulator,0.10855881302668204,0.1496411263805777
87,BRD-K99113996-001-02-0,0.840026395173454,0.7388998682476944,0.9208333333333333,K99113996,BRD-K99113996-001-02-0,AZD2014,mTOR inhibitor,-0.08080693815987927,0.10112652692575963
88,BRD-K99433989-001-02-9,0.4156080997519543,0.571892959770115,0.26793024709699337,K99433989,BRD-K99433989-001-02-9,SAG,smoothened receptor agonist,0.14767785265496092,-0.15628486001816072
89,BRD-M87138257-003-01-1,0.6151289682539682,0.7532675657675657,0.4835733153334221,M87138257,BRD-M87138257-003-01-1,acriflavine,hypoxia inducible factor inhibitor,0.1315556529205461,-0.13813859751359747
