,Metadata_plate_map_name,Metadata_control_type,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_BRD ID,Metadata_BRD with batch,Metadata_Common Name,Metadata_MoA,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Object_Count,Metadata_batch,average_precision,p_value
33,S-C-7314-04-CMP-001,trt,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122248,B10,9,1472,1472,1472,1472,2023_05_17_Batch3,1.0,0.00059994
34,S-C-7314-04-CMP-001,trt,BRD-K06883221-001-02-9,2.0725,5.0,DMSO,K06883221,BRD-K06883221-001-01-9,apratastat,tumor necrosis factor production inhibitor,BR00122248,B11,9,3813,3813,3813,3813,2023_05_17_Batch3,0.24999999999999997,0.25717428
35,S-C-7314-04-CMP-001,trt,BRD-K66430217-001-05-9,1.6909,5.0,DMSO,K66430217,BRD-K66430217-001-03-8,KH-CB19,CDC inhibitor,BR00122248,B12,9,4006,4006,4006,4006,2023_05_17_Batch3,0.12506334245464681,0.7131287
36,S-C-7314-04-CMP-001,trt,BRD-K84937637-001-21-9,4.5709,5.0,DMSO,K84937637,BRD-K84937637-001-11-5,sirolimus,mTOR inhibitor,BR00122248,B13,9,2510,2510,2510,2510,2023_05_17_Batch3,0.7777777777777777,0.0024997501
37,S-C-7314-04-CMP-001,trt,BRD-K93942811-001-03-9,1.9224,5.0,DMSO,K93942811,BRD-K93942811-001-01-3,ML-323,ubiquitin specific protease inhibitor,BR00122248,B14,9,3390,3390,3390,3390,2023_05_17_Batch3,1.0,0.00059994
38,S-C-7314-04-CMP-001,trt,BRD-A53576514-048-02-8,2.3075,5.0,DMSO,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,BR00122248,B15,9,3901,3901,3901,3901,2023_05_17_Batch3,0.17777777777777778,0.44605538
39,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122248,B16,9,3949,3949,3949,3949,2023_05_17_Batch3,,1.0
40,S-C-7314-04-CMP-001,trt,BRD-K56932272-001-02-9,2.4378,5.0,DMSO,K56932272,BRD-K56932272-001-02-9,BMS-566419,inosine monophosphate dehydrogenase inhibitor,BR00122248,B17,9,2815,2815,2815,2815,2023_05_17_Batch3,1.0,0.00059994
41,S-C-7314-04-CMP-001,trt,BRD-K24600306-003-02-9,2.3445,5.0,DMSO,K24600306,BRD-K24600306-003-02-9,ML-298,phospholipase inhibitor,BR00122248,B18,9,3881,3881,3881,3881,2023_05_17_Batch3,0.4702380952380952,0.05459454
42,S-C-7314-04-CMP-001,trt,BRD-M87138257-003-01-1,2.3499,5.0,DMSO,M87138257,BRD-M87138257-003-01-1,acriflavine,hypoxia inducible factor inhibitor,BR00122248,B19,9,84,84,84,84,2023_05_17_Batch3,1.0,0.00059994
43,S-C-7314-04-CMP-001,trt,BRD-K09372874-001-02-9,2.2623,5.0,DMSO,K09372874,BRD-K09372874-001-01-0,merimepodib,inosine monophosphate dehydrogenase inhibitor,BR00122248,B20,9,1550,1550,1550,1550,2023_05_17_Batch3,1.0,0.00059994
44,S-C-7314-04-CMP-001,trt,BRD-K76908866-001-08-9,2.3477,5.0,DMSO,K76908866,BRD-K76908866-001-07-6,CP-724714,EGFR inhibitor,BR00122248,B21,9,3548,3548,3548,3548,2023_05_17_Batch3,0.8666666666666667,0.00109989
45,S-C-7314-04-CMP-001,trt,BRD-K64881305-001-07-9,2.5853,5.0,DMSO,K64881305,BRD-K64881305-001-05-2,ispinesib,kinesin inhibitor,BR00122248,B22,9,520,520,520,520,2023_05_17_Batch3,1.0,0.00059994
46,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122248,B23,9,3847,3847,3847,3847,2023_05_17_Batch3,,1.0
47,S-C-7314-04-CMP-001,trt,BRD-K49669041-001-10-9,2.3568,5.0,DMSO,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,BR00122248,B24,9,1470,1470,1470,1470,2023_05_17_Batch3,1.0,0.00059994
48,S-C-7314-04-CMP-001,trt,BRD-K72951360-001-02-9,3.6182,5.0,DMSO,K72951360,BRD-K72951360-001-01-4,valrubicin,DNA inhibitor,BR00122248,C01,9,231,231,231,231,2023_05_17_Batch3,1.0,0.00059994
49,S-C-7314-04-CMP-001,trt,BRD-K16189898-001-26-9,2.3267,5.0,DMSO,K16189898,BRD-K16189898-003-03-3,CHIR-99021,glycogen synthase kinase inhibitor,BR00122248,C02,9,3379,3379,3379,3379,2023_05_17_Batch3,1.0,0.00059994
50,S-C-7314-04-CMP-001,trt,BRD-M87138257-003-01-1,2.3499,5.0,DMSO,M87138257,BRD-M87138257-003-01-1,acriflavine,hypoxia inducible factor inhibitor,BR00122248,C03,9,112,112,112,112,2023_05_17_Batch3,1.0,0.00059994
51,S-C-7314-04-CMP-001,trt,BRD-K99433989-001-02-9,2.4503,5.0,DMSO,K99433989,BRD-K99433989-001-02-9,SAG,smoothened receptor agonist,BR00122248,C04,9,3755,3755,3755,3755,2023_05_17_Batch3,0.8055555555555555,0.00179982
52,S-C-7314-04-CMP-001,trt,BRD-K85776940-001-01-9,1.983,5.0,DMSO,K85776940,BRD-K85776940-001-01-9,delta-Tocotrienol,HMGCR inhibitor,BR00122248,C05,9,3864,3864,3864,3864,2023_05_17_Batch3,0.1384126984126984,0.6280372
53,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122248,C06,9,3644,3644,3644,3644,2023_05_17_Batch3,,1.0
54,S-C-7314-04-CMP-001,trt,BRD-K70578146-001-13-9,0.16697,0.133,DMSO,K70578146,BRD-K70578146-001-09-1,DACTINOMYCIN,Apoptosis inducer (transcription inhibitor),BR00122248,C07,9,198,198,198,198,2023_05_17_Batch3,1.0,0.00059994
55,S-C-7314-04-CMP-001,trt,BRD-K97452254-001-02-9,2.3578,5.0,DMSO,K97452254,BRD-K97452254-001-01-3,AMG-925,CDK inhibitor,BR00122248,C08,9,2277,2277,2277,2277,2023_05_17_Batch3,1.0,0.00059994
56,S-C-7314-04-CMP-001,trt,BRD-K68756823-001-12-9,1.6367,5.0,DMSO,K68756823,BRD-K68756823-001-07-1,FR-180204,MAP kinase inhibitor,BR00122248,C09,9,3687,3687,3687,3687,2023_05_17_Batch3,0.18240740740740743,0.42675734
57,S-C-7314-04-CMP-001,trt,BRD-K60130390-001-02-1,2.7335,5.0,DMSO,K60130390,BRD-K60130390-001-02-1,UNC0642,histone lysine methyltransferase inhibitor,BR00122248,C10,9,3510,3510,3510,3510,2023_05_17_Batch3,1.0,0.00059994
58,S-C-7314-04-CMP-001,trt,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122248,C11,9,1291,1291,1291,1291,2023_05_17_Batch3,1.0,0.00059994
59,S-C-7314-04-CMP-001,trt,BRD-K57080016-001-19-1,2.2884,5.0,DMSO,K57080016,BRD-K57080016-001-01-9,selumetinib,MEK inhibitor,BR00122248,C12,9,3163,3163,3163,3163,2023_05_17_Batch3,1.0,0.00059994
60,S-C-7314-04-CMP-001,trt,BRD-K39520573-001-01-2,2.6047,5.0,DMSO,K39520573,BRD-K39520573-001-03-8,GW-5074,RAF inhibitor,BR00122248,C13,9,3913,3913,3913,3913,2023_05_17_Batch3,1.0,0.00059994
61,S-C-7314-04-CMP-001,trt,BRD-K61397605-001-04-2,2.7035,5.0,DMSO,K61397605,BRD-K61397605-001-07-5,romidepsin,HDAC inhibitor,BR00122248,C14,9,258,258,258,258,2023_05_17_Batch3,1.0,0.00059994
62,S-C-7314-04-CMP-001,trt,BRD-K61688984-001-04-5,1.812,5.0,DMSO,K61688984,BRD-K61688984-001-02-9,RGFP966,HDAC inhibitor,BR00122248,C15,9,2510,2510,2510,2510,2023_05_17_Batch3,1.0,0.00059994
63,S-C-7314-04-CMP-001,trt,BRD-K37379014-001-02-0,2.1024,5.0,DMSO,K37379014,BRD-K37379014-001-01-2,filanesib,kinesin inhibitor,BR00122248,C16,9,614,614,614,614,2023_05_17_Batch3,1.0,0.00059994
64,S-C-7314-04-CMP-001,trt,BRD-K19477839-001-10-9,1.797,5.0,DMSO,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,BR00122248,C17,9,3571,3571,3571,3571,2023_05_17_Batch3,0.15842105263157893,0.520048
65,S-C-7314-04-CMP-001,trt,BRD-K28936863-051-14-0,2.1275,5.0,DMSO,K28936863,BRD-K28936863-051-32-2,ketotifen,phosphodiesterase inhibitor,BR00122248,C18,9,3840,3840,3840,3840,2023_05_17_Batch3,0.22857142857142856,0.3058694
66,S-C-7314-04-CMP-001,trt,BRD-K67772619-001-06-9,1.4213,5.0,DMSO,K67772619,BRD-K67772619-001-05-1,rheochrysidin,protein tyrosine kinase inhibitor,BR00122248,C19,9,3784,3784,3784,3784,2023_05_17_Batch3,0.5972222222222222,0.01739826
67,S-C-7314-04-CMP-001,trt,BRD-A53576514-048-02-8,2.3075,5.0,DMSO,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,BR00122248,C20,9,4199,4199,4199,4199,2023_05_17_Batch3,0.21428571428571427,0.3350665
68,S-C-7314-04-CMP-001,trt,BRD-K91900765-001-09-9,2.1813,5.0,DMSO,K91900765,BRD-K91900765-001-08-4,VX-745,p38 MAPK inhibitor,BR00122248,C21,9,3617,3617,3617,3617,2023_05_17_Batch3,0.2569444444444444,0.24127588
69,S-C-7314-04-CMP-001,trt,BRD-K56301217-001-02-5,4.0671,5.0,DMSO,K56301217,BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,BR00122248,C22,9,3103,3103,3103,3103,2023_05_17_Batch3,1.0,0.00059994
70,S-C-7314-04-CMP-001,trt,BRD-K23383398-001-08-1,2.4067,5.0,DMSO,K23383398,BRD-K23383398-001-09-9,T-0901317,LXR agonist,BR00122248,C23,9,3719,3719,3719,3719,2023_05_17_Batch3,1.0,0.00059994
71,S-C-7314-04-CMP-001,trt,BRD-K24696047-001-03-9,2.1978,5.0,DMSO,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,BR00122248,C24,9,2499,2499,2499,2499,2023_05_17_Batch3,1.0,0.00059994
72,S-C-7314-04-CMP-001,trt,BRD-K00818915-001-02-9,1.7613,5.0,DMSO,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,BR00122248,D01,9,3551,3551,3551,3551,2023_05_17_Batch3,0.6055555555555555,0.01619838
73,S-C-7314-04-CMP-001,trt,BRD-K39974922-001-05-9,2.1343,5.0,DMSO,K39974922,BRD-K39974922-001-04-3,lenvatinib,FGFR inhibitor,BR00122248,D02,9,3486,3486,3486,3486,2023_05_17_Batch3,1.0,0.00059994
74,S-C-7314-04-CMP-001,trt,BRD-K61397605-001-04-2,2.7035,5.0,DMSO,K61397605,BRD-K61397605-001-07-5,romidepsin,HDAC inhibitor,BR00122248,D03,9,267,267,267,267,2023_05_17_Batch3,1.0,0.00059994
75,S-C-7314-04-CMP-001,trt,BRD-K50055394-001-04-9,2.0844,5.0,DMSO,K50055394,BRD-K50055394-001-03-6,halopemide,phospholipase inhibitor,BR00122248,D04,9,3843,3843,3843,3843,2023_05_17_Batch3,0.8666666666666667,0.00109989
76,S-C-7314-04-CMP-001,trt,BRD-K49669041-001-10-9,2.3568,5.0,DMSO,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,BR00122248,D05,9,1678,1678,1678,1678,2023_05_17_Batch3,1.0,0.00059994
77,S-C-7314-04-CMP-001,trt,BRD-A12994259-001-11-9,1.3662,5.0,DMSO,A12994259,BRD-A12994259-001-02-1,pomalidomide,tumor necrosis factor production inhibitor,BR00122248,D06,9,3670,3670,3670,3670,2023_05_17_Batch3,0.5416666666666666,0.02669733
78,S-C-7314-04-CMP-001,trt,BRD-K73982490-001-04-9,1.8969,5.0,DMSO,K73982490,BRD-K73982490-001-02-9,BI-78D3,JNK inhibitor,BR00122248,D07,9,3672,3672,3672,3672,2023_05_17_Batch3,0.13660130718954247,0.63993603
79,S-C-7314-04-CMP-001,trt,BRD-K19871656-001-01-3,1.8291,5.0,DMSO,K19871656,BRD-K19871656-001-01-3,CPI-0610,bromodomain inhibitor,BR00122248,D08,9,2619,2619,2619,2619,2023_05_17_Batch3,1.0,0.00059994
80,S-C-7314-04-CMP-001,trt,BRD-K68756823-001-12-9,1.6367,5.0,DMSO,K68756823,BRD-K68756823-001-07-1,FR-180204,MAP kinase inhibitor,BR00122248,D09,9,3800,3800,3800,3800,2023_05_17_Batch3,0.2126022126022126,0.33676633
81,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122248,D10,9,3824,3824,3824,3824,2023_05_17_Batch3,,1.0
82,S-C-7314-04-CMP-001,trt,BRD-K63631219-001-01-6,1.1784,5.0,DMSO,K63631219,BRD-K63631219-001-01-6,quazinone,phosphodiesterase inhibitor,BR00122248,D11,9,3746,3746,3746,3746,2023_05_17_Batch3,0.1722222222222222,0.46765324
83,S-C-7314-04-CMP-001,trt,BRD-K99113996-001-02-0,2.3127,5.0,DMSO,K99113996,BRD-K99113996-001-02-0,AZD2014,mTOR inhibitor,BR00122248,D12,9,1360,1360,1360,1360,2023_05_17_Batch3,1.0,0.00059994
84,S-C-7314-04-CMP-001,trt,BRD-K99113996-001-02-0,2.3127,5.0,DMSO,K99113996,BRD-K99113996-001-02-0,AZD2014,mTOR inhibitor,BR00122248,D13,9,1417,1417,1417,1417,2023_05_17_Batch3,1.0,0.00059994
85,S-C-7314-04-CMP-001,trt,BRD-K01826510-001-09-9,1.8745,5.0,DMSO,K01826510,BRD-K01826510-300-06-9,hydroxyzine,antihistamine,BR00122248,D14,9,3810,3810,3810,3810,2023_05_17_Batch3,0.45555555555555555,0.06739326
86,S-C-7314-04-CMP-001,trt,BRD-K37379014-001-02-0,2.1024,5.0,DMSO,K37379014,BRD-K37379014-001-01-2,filanesib,kinesin inhibitor,BR00122248,D15,9,605,605,605,605,2023_05_17_Batch3,1.0,0.00059994
87,S-C-7314-04-CMP-001,trt,BRD-K98251413-001-07-9,1.7617,5.0,DMSO,K98251413,BRD-K98251413-001-04-0,IOX2,hypoxia inducible factor inhibitor,BR00122248,D16,9,3876,3876,3876,3876,2023_05_17_Batch3,0.4444444444444444,0.07639236
88,S-C-7314-04-CMP-001,trt,BRD-K44227013-001-15-9,2.6628,5.0,DMSO,K44227013,BRD-K44227013-001-08-0,ponatinib,Bcr-Abl kinase inhibitor,BR00122248,D17,9,330,330,330,330,2023_05_17_Batch3,1.0,0.00059994
89,S-C-7314-04-CMP-001,trt,BRD-K20290250-001-03-9,2.0624,5.0,DMSO,K20290250,BRD-K20290250-001-02-1,BIX-02188,MEK inhibitor,BR00122248,D18,9,3829,3829,3829,3829,2023_05_17_Batch3,0.2483164983164983,0.26067394
90,S-C-7314-04-CMP-001,trt,BRD-K24696047-001-03-9,2.1978,5.0,DMSO,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,BR00122248,D19,9,2960,2960,2960,2960,2023_05_17_Batch3,1.0,0.00059994
91,S-C-7314-04-CMP-001,trt,BRD-K00818915-001-02-9,1.7613,5.0,DMSO,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,BR00122248,D20,9,4047,4047,4047,4047,2023_05_17_Batch3,0.09641943734015346,0.9145085
92,S-C-7314-04-CMP-001,trt,BRD-K03063480-001-08-9,2.0974,5.0,DMSO,K03063480,BRD-K03063480-001-06-6,PF-477736,CHK inhibitor,BR00122248,D21,9,308,308,308,308,2023_05_17_Batch3,1.0,0.00059994
93,S-C-7314-04-CMP-001,trt,BRD-K24696047-001-03-9,2.1978,5.0,DMSO,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,BR00122248,D22,9,2956,2956,2956,2956,2023_05_17_Batch3,1.0,0.00059994
94,S-C-7314-04-CMP-001,trt,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122248,D23,9,3819,3819,3819,3819,2023_05_17_Batch3,0.14523809523809525,0.589541
95,S-C-7314-04-CMP-001,trt,BRD-K99092662-001-02-9,1.5286,5.0,DMSO,K99092662,BRD-K99092662-001-01-1,PS178990,androgen receptor modulator,BR00122248,D24,9,3611,3611,3611,3611,2023_05_17_Batch3,0.3333333333333333,0.15228477
96,S-C-7314-04-CMP-001,trt,BRD-K00818915-001-02-9,1.7613,5.0,DMSO,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,BR00122248,E01,9,3681,3681,3681,3681,2023_05_17_Batch3,0.2333333333333333,0.29717028
97,S-C-7314-04-CMP-001,trt,BRD-K39974922-001-05-9,2.1343,5.0,DMSO,K39974922,BRD-K39974922-001-04-3,lenvatinib,FGFR inhibitor,BR00122248,E02,9,3242,3242,3242,3242,2023_05_17_Batch3,1.0,0.00059994
98,S-C-7314-04-CMP-001,trt,BRD-K19871656-001-01-3,1.8291,5.0,DMSO,K19871656,BRD-K19871656-001-01-3,CPI-0610,bromodomain inhibitor,BR00122248,E03,9,2723,2723,2723,2723,2023_05_17_Batch3,1.0,0.00059994
99,S-C-7314-04-CMP-001,trt,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122248,E04,9,1402,1402,1402,1402,2023_05_17_Batch3,1.0,0.00059994
100,S-C-7314-04-CMP-001,trt,BRD-K28936863-051-14-0,2.1275,5.0,DMSO,K28936863,BRD-K28936863-051-32-2,ketotifen,phosphodiesterase inhibitor,BR00122248,E05,9,3964,3964,3964,3964,2023_05_17_Batch3,0.22685185185185186,0.3080692
101,S-C-7314-04-CMP-001,trt,BRD-K04923131-001-17-9,1.7809,5.0,DMSO,K04923131,BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,glycogen synthase kinase inhibitor,BR00122248,E06,9,2005,2005,2005,2005,2023_05_17_Batch3,1.0,0.00059994
102,S-C-7314-04-CMP-001,trt,BRD-K36234266-001-10-6,1.0702,5.0,DMSO,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,BR00122248,E07,9,3693,3693,3693,3693,2023_05_17_Batch3,0.12554112554112554,0.7094291
